AMR_Gene_Family	ARO	ARO_Name	Drug_Class	Resistance_Mechanism	SRR10842836	SRR10842837	SRR10842838	SRR10842839	SRR10842840	SRR10842841	SRR10842842	SRR10842843	SRR10842844	SRR10842845	SRR10842846	SRR10842847	SRR10842848	SRR10842849	SRR10842850	SRR10842851	SRR10842852	SRR10842853	SRR10842854	SRR10842855	SRR10842856	SRR10842857	SRR10842858	SRR10842859	SRR10842860	SRR10842861	SRR10842862	SRR10842863	SRR10842864	SRR10842865	SRR10842866	SRR10842867	SRR10842868	SRR10842869	SRR10842870	SRR10842871
16S rRNA with mutation conferring resistance to tetracycline derivatives	ARO_3003411__Ecol_16S_TET__R__a964g	Escherichia coli 16S rRNA (rrnB) mutation conferring resistance to tetracycline	aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic	antibiotic target alteration	0.0079	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0
16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	ARO_3003333__Ecol_16rrsC_KAS__R__a794g	Escherichia coli 16S rRNA (rrsC) mutation conferring resistance to kasugamicin	aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic	antibiotic target alteration	0.0	0	0	0	0.0	0.0	0.0	0.0085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0
16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	ARO_3003333__Ecol_16rrsC_KAS__R__g926a	Escherichia coli 16S rRNA (rrsC) mutation conferring resistance to kasugamicin	aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic	antibiotic target alteration	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0
16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	ARO_3003333__Ecol_16rrsC_KAS__R__g926t	Escherichia coli 16S rRNA (rrsC) mutation conferring resistance to kasugamicin	aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic	antibiotic target alteration	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0063	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0055	0.0	0.0	0	0.0	0.0072	0	0
16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	ARO_3003376__Ecol_16rrsB_SPT__R__c1192a	Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to spectinomycin	aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic	antibiotic target alteration	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0073	0.0	0	0
16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	ARO_3003376__Ecol_16rrsB_SPT__R__g1064t	Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to spectinomycin	aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic	antibiotic target alteration	0.0	0	0	0	0.0	0.0067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0
16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	ARO_3003396_3003399_3003402_3003403__Ecol_16S_GENC__R__a1408g	Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to gentamicin C;Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to kanamycin A;Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to neomycin;Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to paromomycin	aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic	antibiotic target alteration	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0073	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0
16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	ARO_3003436__Mtub_16S_KAN__R__c1402a	Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to kanamycin	aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic	antibiotic target alteration	0.0	0	0	0	0.0	0.0	0.007	0.0	0.0	0.0	0.0082	0.0	0.0	0.0265	0.0	0	0.005	0.018	0.0	0.007	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0144	0	0
16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	ARO_3003480__Mtub_16S_STR__R__a906g	Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to streptomycin	aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic	antibiotic target alteration	0.0	0	0	0	0.0	0.0067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0
16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	ARO_3003515__Mche_16S_KAN__R__a1408g	Mycobacteroides chelonae 16S rRNA mutation conferring resistance to kanamycin A	aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic	antibiotic target alteration	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0075	0.0	0.0	0.0	0.0199	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0
