run_accession,Intervention,SamplingPeriod,Room
SRR10842871,Old,1,1
SRR10842839,Old,1,2
SRR10842867,Old,1,3
SRR10842861,Old,1,4
SRR10842854,Old,1,5
SRR10842847,Old,1,6
SRR10842870,Old,2,1
SRR10842838,Old,2,2
SRR10842866,Old,2,3
SRR10842860,Old,2,4
SRR10842853,Old,2,5
SRR10842846,Old,2,6
SRR10842859,Old,3,1
SRR10842837,Old,3,2
SRR10842865,Old,3,3
SRR10842858,Old,3,4
SRR10842852,Old,3,5
SRR10842845,Old,3,6
SRR10842848,New,4,1
SRR10842836,New,4,2
SRR10842864,New,4,3
SRR10842857,New,4,4
SRR10842851,New,4,5
SRR10842844,New,4,6
SRR10842841,New,5,1
SRR10842869,New,5,2
SRR10842863,New,5,3
SRR10842856,New,5,4
SRR10842850,New,5,5
SRR10842843,New,5,6
SRR10842840,New,6,1
SRR10842868,New,6,2
SRR10842862,New,6,3
SRR10842855,New,6,4
SRR10842849,New,6,5
SRR10842842,New,6,6
